Term	CDS	Splice_Region	Splice_Acceptor	Splice_Donor	5p_UTR	3p_UTR	Start_Codon	Stop_Codon	Intron
NOMINAL_IMPACT	0	0	0	0	0	0	0	0	0
intergenic_variant	0	0	0	0	0	0	0	0	0
feature_truncation	0	0	0	0	0	0	0	0	0
regulatory_region_variant	0	0	0	0	0	0	0	0	0
feature_elongation	0	0	0	0	0	0	0	0	0
regulatory_region_amplification	0	0	0	0	0	0	0	0	0
regulatory_region_ablation	0	0	0	0	0	0	0	0	0
TF_binding_site_variant	0	0	0	0	0	0	0	0	0
TFBS_amplification	0	0	0	0	0	0	0	0	0
TFBS_ablation	0	0	0	0	0	0	0	0	0
downstream_gene_variant	0	0	0	0	0	0	0	0	0
upstream_gene_variant	0	0	0	0	0	0	0	0	0
non_coding_transcript_variant	0	0	0	0	0	0	0	0	0
NMD_transcript_variant	0	0	0	0	0	0	0	0	0
intron_variant	0	0	0	0	0	0	0	0	1
non_coding_transcript_exon_variant	0	0	0	0	0	0	0	0	0
3_prime_UTR_variant	0	0	0	0	0	1	0	0	0
5_prime_UTR_variant	0	0	0	0	1	0	0	0	0
mature_miRNA_variant	0	0	0	0	0	0	0	0	0
coding_sequence_variant	1	0	0	0	0	0	0	0	0
synonymous_variant	1	0	0	0	0	0	0	0	0
stop_retained_variant	0	0	0	0	0	0	0	1	0
start_retained_variant	0	0	0	0	0	0	1	0	0
incomplete_terminal_codon_variant	1	0	0	0	0	0	0	0	0
splice_region_variant	0	1	0	0	0	0	0	0	0
protein_altering_variant	0	0	0	0	0	0	0	0	0
missense_variant	1	0	0	0	0	0	0	0	0
inframe_deletion	1	0	0	0	0	0	0	0	0
inframe_insertion	1	0	0	0	0	0	0	0	0
transcript_amplification	0	0	0	0	0	0	0	0	0
start_lost	1	0	0	0	0	0	1	0	0
stop_lost	1	0	0	0	0	0	0	1	0
frameshift_variant	1	0	0	0	0	0	0	0	0
stop_gained	0	0	0	0	0	0	0	1	0
splice_donor_variant	0	0	0	1	0	0	0	0	0
splice_acceptor_variant	0	0	1	0	0	0	0	0	0
transcript_ablation	0	0	0	0	0	0	0	0	0
